whoregion,regioncode,iso3,year,ncc,nfp,nap,nrl,n.hospitals.national.system,n.outpatients.national.system,n.in.outpatients.national.system,n.lab.national.system,eqa.to.nrl,eqa.local.labs,type.ast.standards,hospital.providing.glass,outpatients.providing.glass,in-out.patients,num.labo.reporting.glass,num.pat.year.h,num.pat.year.o
AMR/PAHO,35,KNA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,KNA,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,KNA,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,KNA,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,0,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,0,,,
WPR,27,KOR,2017,Established,Nominated,Functioning with budget,Established,6,None,,7,Provided,Provided to all laboratories,EUCAST/CLSI,6,0,,,,
WPR,27,KOR,2018,Established,Nominated,Functioning with budget,Established,8,None,,4,Provided,Provided to all laboratories,EUCAST/CLSI,8,0,,,178423,0
WPR,27,KOR,2019,Established,Nominated,Functioning with budget,Established,8,None,,4,Provided,Provided to all laboratories,EUCAST/CLSI,8,0,,,,
WPR,,KOR,2020,Established,Nominated,"Yes, with budget",Established,8,None,,,Provided,Provided to all laboratories,EUCAST/CLSI,8,0,,5,,
EUR,54,KOS,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,KOS,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,KOS,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,KOS,2019,Established,Nominated,Functioning with budget,Established,7,None,,7,Provided,Provided to all laboratories,EUCAST,12,12,,,,
EUR,,KOS,2020,Established,Nominated,"Yes, with budget",Established,None,None,3,,Provided,Provided to all laboratories,EUCAST,0,0,0,7,,
EMR,22,KWT,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,22,KWT,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,22,KWT,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,,KWT,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,10,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,8,,,
WPR,27,LAO,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,LAO,2018,Established,Nominated,Functioning with budget,Established,None,None,,None,Provided,Not provided,EUCAST/CLSI,None,0,,None,,
WPR,27,LAO,2019,Established,Nominated,Functioning with budget,Established,2,None,,2,Provided,Provided to all laboratories,EUCAST/CLSI,1,0,,,,
WPR,,LAO,2020,Established,Nominated,"Yes, with budget",Established,3,None,,,Provided,Provided to all laboratories,EUCAST/CLSI,3,0,,3,,
EMR,22,LBN,2017,Establishment in progress,Nominated,Functioning with no budget,Established,2,None,,2,Provided,Provided to some laboratories,EUCAST/CLSI,2,0,,,,
EMR,22,LBN,2018,Establishment in progress,Nominated,Functioning with no budget,Established,4,None,,4,Provided,Provided to some laboratories,EUCAST/CLSI,4,0,,,,
EMR,22,LBN,2019,Established,Nominated,Functioning with budget,Established,30,None,,30,Not reported,Provided to some laboratories,EUCAST/CLSI,8,0,,,,
EMR,,LBN,2020,Established,Nominated,"Yes, with budget",Established,10,None,0,,Not reported,Provided to all laboratories,Not reported,8,0,0,8,,
AFR,47,LBR,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,LBR,2018,Not established,Nominated,Functioning with budget,Established,4,None,,4,Provided,Not provided,CLSI,No data,,,,,
AFR,47,LBR,2019,Not established,Nominated,Functioning with budget,Established,3,None,,4,Provided,Not provided,CLSI,No data,,,,,
AFR,,LBR,2020,Not reported,Nominated,Not reported,Not reported,Not reported,Not reported,,,Not reported,Not reported,Not reported,Not reported,Not reported,,,,
EMR,22,LBY,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,22,LBY,2018,Establishment in progress,Nominated,Not functioning,Established,No data,No data,,No data,Provided,Not provided,Not reported,No data,,,No data,,
EMR,22,LBY,2019,Establishment in progress,Nominated,Not functioning,Established,No data,No data,,No data,Provided,Not provided,Not reported,None,0,,No data,,
EMR,,LBY,2020,Established,Nominated,"Yes, with budget",Established,1,None,0,,Provided,Not reported,CLSI,1,0,0,1,,
AMR/PAHO,35,LCA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,LCA,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,LCA,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,LCA,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
SEAR,11,LKA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
SEAR,11,LKA,2018,Established,Nominated,Functioning with budget,Established,25,None,,25,Provided,Provided to all laboratories,CLSI,25,0,,,,
SEAR,11,LKA,2019,Established,Nominated,Functioning with budget,Established,17,None,,17,Provided,Provided to all laboratories,CLSI,17,0,,,,
SEAR,,LKA,2020,Establishment in progress,Nominated,"Yes, with budget",Established,18,None,20,,Provided,Not reported,CLSI,18,0,10,18,,
AFR,47,LSO,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,LSO,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,LSO,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,,LSO,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,4,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,4,,,
EUR,54,LTU,2017,Not established,Nominated,Not functioning,Established,No data,No data,,17,Provided,Provided to all laboratories,EUCAST,No data,,,17,,
EUR,54,LTU,2018,Establishment in progress,In progress,Functioning with no budget,Established,43,30,,18,Provided,Provided to all laboratories,EUCAST,43,30,,,,
EUR,54,LTU,2019,Established,In progress,Functioning with no budget,Established,6,25,,1,Provided,Not provided,EUCAST,6,25,,,,
EUR,,LTU,2020,Establishment in progress,Nominated,"Yes, with budget",Established,20,None,3,,Provided,Provided to all laboratories,EUCAST,10,15,1,1,,
EUR,54,LUX,2017,Not established,Nominated,Functioning with budget,Established,4,4,,8,Provided,Provided to all laboratories,EUCAST,No data,,,,,
EUR,54,LUX,2018,Not established,Nominated,Functioning with budget,Established,4,4,,8,Provided,Provided to all laboratories,EUCAST,4,0,,,,
EUR,54,LUX,2019,Not established,Nominated,Functioning with budget,Established,9,None,,8,Provided,Provided to all laboratories,EUCAST,4,0,,,,
EUR,,LUX,2020,Not established,Nominated,"Yes, with budget",Established,4,None,,,Provided,Provided to all laboratories,EUCAST,4,0,,8,,
EUR,54,LVA,2017,Established,Nominated,Not functioning,Established,1,1,,1,Provided,Not provided,EUCAST/CLSI,1,1,,,,
EUR,54,LVA,2018,Established,Nominated,Functioning with no budget,Established,No data,No data,,11,Provided,Provided to all laboratories,EUCAST,1,1,,,44000,156000
EUR,54,LVA,2019,Established,Nominated,Functioning with no budget,Established,No data,No data,,11,Provided,Provided to all laboratories,EUCAST,1,1,,,4400,15600
EUR,,LVA,2020,Not established,Nominated,"Yes, with budget",Not established,12,None,,,Provided,Provided to all laboratories,EUCAST,0,0,,,,
EMR,22,MAR,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,22,MAR,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,22,MAR,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EMR,,MAR,2020,Not reported,Nominated,Not reported,Not reported,Not reported,Not reported,,,Not reported,Not reported,Not reported,Not reported,Not reported,,,,
AFR,47,MAU,2019,Not reported,Nominated,No data,Not reported,No data,No data,,No data,Not reported,Not reported,Not reported,No data,No data,No data,No data,No data,No data
EUR,54,MCO,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,MCO,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,MCO,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,MCO,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,9,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,9,,,
EUR,54,MDA,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,MDA,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,MDA,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,MDA,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
AFR,47,MDG,2017,Established,Nominated,Not functioning,Established,13,1,,None,Provided,Not provided,EUCAST,None,1,,,,
AFR,47,MDG,2018,Established,Nominated,Not functioning,Established,8,1,,8,Provided,Provided to all laboratories,EUCAST,None,1,,,,
AFR,47,MDG,2019,Established,Nominated,Functioning with budget,Established,No data,No data,,7,Provided,Not provided,EUCAST,No data,,,7,,
AFR,,MDG,2020,Established,Nominated,"Yes, with budget",Established,9,None,,,Provided,Provided to some laboratories,EUCAST/CLSI,,,,9,,
SEAR,11,MDV,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
SEAR,11,MDV,2018,Established,Nominated,Functioning with no budget,Established,None,None,,None,Provided,Not provided,CLSI,None,0,,None,,
SEAR,11,MDV,2019,Established,Nominated,Functioning with no budget,Established,2,2,,2,Provided,Not provided,CLSI,2,2,,,,
SEAR,,MDV,2020,Not reported,Nominated,Not reported,Not reported,Not reported,Not reported,,,Not reported,Not reported,Not reported,Not reported,Not reported,,,,
AMR/PAHO,35,MEX,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,MEX,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,35,MEX,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AMR/PAHO,,MEX,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,5,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,5,,,
WPR,27,MHL,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,MHL,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,27,MHL,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
WPR,,MHL,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,0,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,0,,,
EUR,54,MKD,2017,Establishment in progress,Nominated,Functioning with no budget,Established,64,None,,13,Provided,Not provided,EUCAST,None,0,,13,,
EUR,54,MKD,2018,Established,Nominated,Functioning with no budget,Not established,No data,No data,,30,Not provided,Provided to some laboratories,EUCAST,37,0,,,,
EUR,54,MKD,2019,Established,Nominated,Functioning with no budget,Not established,No data,No data,,30,Not provided,Provided to some laboratories,EUCAST,37,0,,,,
EUR,,MKD,2020,Not reported,Nominated,Not reported,Not reported,Not reported,Not reported,6,,Not reported,Not reported,Not reported,Not reported,Not reported,6,,,
AFR,47,MLI,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
AFR,47,MLI,2018,Established,Nominated,Functioning with budget,Established,None,None,,None,Provided,Provided to some laboratories,EUCAST,None,0,,None,,
AFR,47,MLI,2019,Established,Nominated,Functioning with budget,Established,No data,No data,,5,Provided,Provided to all laboratories,EUCAST/CLSI,No data,,,5,,
AFR,,MLI,2020,Established,Nominated,"Yes, with budget",Established,None,None,,,Provided,Provided to all laboratories,EUCAST,0,0,,5,,
EUR,54,MLT,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,MLT,2018,Not established,Nominated,Functioning with no budget,Not established,1,None,,1,Provided,Not provided,EUCAST,1,0,,,,
EUR,54,MLT,2019,Established,Nominated,Functioning with budget,Established,4,10,,1,Provided,Not provided,EUCAST,4,10,,,72258,
EUR,,MLT,2020,Established,Nominated,"Yes, with budget",Established,4,10,,,Provided,Provided to all laboratories,EUCAST,4,10,,1,,
SEAR,11,MMR,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
SEAR,11,MMR,2018,Established,Nominated,Functioning with no budget,Established,7,None,,38,Provided,Provided to all laboratories,CLSI,No data,,,,,
SEAR,11,MMR,2019,Established,Nominated,Functioning with no budget,Established,7,7,,7,Provided,Provided to all laboratories,CLSI,No data,,,7,,
SEAR,,MMR,2020,Established,Nominated,"Yes, with budget",Established,6,1,1,,Provided,Provided to all laboratories,CLSI,6,1,1,7,,
EUR,54,MNE,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,MNE,2018,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,54,MNE,2019,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
EUR,,MNE,2020,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not Enrolled,Not Enrolled,,,,
WPR,27,MNG,2017,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS,Not enrolled in GLASS
